address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans
1201 Brickyard Way APT 201,Richmond,CA,94801,37.913431,-122.379505,3,1659,875000,1.05084257584408
"10 Innes Ct #204 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,2,1020,865000,1.0555623628622612
4209 Howe St,Oakland,CA,94611,37.828694,-122.25146,0,2445,1950000,0.8515469265170991
4057 Masterson St,Oakland,CA,94619,37.790041,-122.196609,2,842,579000,1.0597177763947503
2345 Ticonderoga Dr,San Mateo,CA,94402,37.515656,-122.334904,2,1470,1060000,1.062206531524553
189 Sage St,Daly City,CA,94014,37.708286,-122.45187,4,3028,1695995,0.9521094868882288
2555 Longview Dr,San Leandro,CA,94577,37.721798,-122.126886,3,1932,939000,0.9618413744280012
1326 99th Ave,Oakland,CA,94603,37.742949,-122.170906,3,1114,499999,1.0690315475951084
1325 California St LOT 1327,San Francisco,CA,94109,37.790921,-122.416189,1,2300,2495000,0.6329902299989024
616 Hobart Ave,San Mateo,CA,94402,37.549526,-122.327008,3,1910,1950000,0.7963844177322084
724 Martin Blvd,San Leandro,CA,94577,37.723991,-122.178357,4,2300,650000,0.8192516740641352
333 Bush St APT 4206,San Francisco,CA,94104,37.790591,-122.403056,2,1798,2399000,0.12702468171779938
7601 Hillside St,Oakland,CA,94605,37.766407,-122.171786,3,888,398000,0.3647880241711939
277 W Broadmoor Blvd,San Leandro,CA,94577,37.73337,-122.165995,2,1092,659950,0.5014534136968621
3rd St,San Francisco,CA,94158,37.775991,-122.390481,2,1291,2050000,0.24307328969747571
2220 California St,San Francisco,CA,94115,37.789565,-122.431032,4,3350,3595000,0.8388468159076299
570 580 Bush St,San Francisco,CA,94108,37.790618,-122.406727,0,5685,6500000,0.3074816793816171
56 Bismark St,Daly City,CA,94014,37.695556,-122.462671,4,1360,1200000,0.43060135058442434
1215 1217 Broadway,San Francisco,CA,94109,37.796237,-122.417258,3,1940,2300000,0.5516177872185902
108 Spencer Ave,Sausalito,CA,94965,37.854062,-122.484971,5,4420,3995000,0.7799306606534409
1215 Broadway LOT 1217,San Francisco,CA,94109,37.796237,-122.417258,5,1940,2300000,0.8009454873364505
2735 Churchill Dr,Hillsborough,CA,94010,37.570661,-122.383166,6,5170,4990000,0.8540392118240073
4th St,San Francisco,CA,94107,37.778056,-122.39713,1,676,725000,0.15750158812456458
"280 Spear Street #2H Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,947,1100000,0.24573187265103222
"52 Innes Ct. #301 Plan, The San Francisco Shipyard   Monarch",San Francisco,CA,94124,37.7271,-122.368,2,1080,1005000,0.47127503355066985
179 Tucker Ave,San Francisco,CA,94134,37.716177,-122.407655,2,1040,988000,0.6121421548538114
448 Fulton Rd,San Mateo,CA,94402,37.563588,-122.35241,3,2690,2880000,0.7404713163761936
86 Inverness Dr,San Francisco,CA,94132,37.73273,-122.482506,2,1537,1388000,0.8148938728769642
5017 Palmetto Ave APT 61,Pacifica,CA,94044,37.659782,-122.490483,2,1200,725000,0.9127254220132194
"03 Plan, 1433 Bush St.",San Francisco,CA,94109,37.788531,-122.420976,1,600,785000,0.7357616988018495
99 Silverwood Dr,Lafayette,CA,94549,37.884942,-122.164399,3,2036,1595000,0.7641947066628193
1175 Cervantes Way,Pacifica,CA,94044,37.595513,-122.500625,3,1040,899000,0.9415578928076118
306 Avalon Dr,South San Francisco,CA,94080,37.643811,-122.435365,3,1500,1395000,0.9590771449220394
330 Mission Bay Blvd N UNIT 604,San Francisco,CA,94158,37.771662,-122.387453,2,1569,3350000,0.5322414046698483
1000 Dewing Ave UNIT 413,Lafayette,CA,94549,37.892251,-122.123611,2,1554,1395000,0.08670895061878299
112 Russ St,San Francisco,CA,94103,37.778444,-122.408113,2,811,775000,0.31606007920528095
661 Clara St,Oakland,CA,94603,37.739186,-122.186239,8,1980,850000,0.41694115277571453
1650 32nd Ave,San Francisco,CA,94122,37.756407,-122.490267,2,1525,1250000,0.7357507168263278
400 Davey Glen Rd APT 4824,Belmont,CA,94002,37.525708,-122.286668,1,725,650000,0.6435400814327782
2109 Hillside Cir,San Leandro,CA,94577,37.722776,-122.134219,3,2040,998000,0.841111820398525
586 Verducci Dr,Daly City,CA,94015,37.650801,-122.462832,3,1280,998000,0.9590771449220394
"02 Plan, 719 Larkin",San Francisco,CA,94109,37.784529,-122.418101,1,545,690000,0.4182544142952257
"280 Spear Street #2M Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,919,1050000,0.24573187265103222
545 Pierce St APT 3301,Albany,CA,94706,37.89599,-122.30677,2,1234,750000,0.47127503355066985
1817 California St APT 207,San Francisco,CA,94109,37.78956,-122.424535,1,537,699000,0.5536012468870816
99 Rausch St UNIT 522,San Francisco,CA,94103,37.776043,-122.409005,2,1076,1450000,0.3549027190698294
1195 Acacia St,Montara,CA,94037,37.541278,-122.506243,4,1270,985000,0.5856612098182021
215 Klamath St,Brisbane,CA,94005,37.681645,-122.400472,3,1200,995000,0.6268975646236669
"10 Innes Ct #401 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,3,1256,1255000,0.7754554248619473
1102 Shevlin Dr,El Cerrito,CA,94530,37.919299,-122.293663,3,1252,895000,0.9093352511658855
1700 Waller St,San Francisco,CA,94117,37.768588,-122.451884,0,2012,1695000,0.9381666290542354
1901 9th St,Berkeley,CA,94710,37.869818,-122.294539,0,1802,1105000,0.6929830674996997
4317 21st St APT 2,San Francisco,CA,94114,37.755101,-122.439487,1,456,649900,0.9415578928076118
438 29th St,San Francisco,CA,94131,37.743753,-122.429799,4,3776,4388888,0.7713053559173191
201 Harrison St APT 505,San Francisco,CA,94105,37.787587,-122.390471,1,535,840000,0.5147705757613861
"06 Plan, 1433 Bush St.",San Francisco,CA,94109,37.788434,-122.420854,3,1094,1299000,0.6061933099182193
4657 4659 19th St,San Francisco,CA,94114,37.758808,-122.441687,4,1886,1895000,0.7265175333243575
1075 Market St UNIT 413,San Francisco,CA,94103,37.780644,-122.411615,2,844,1175000,0.13656142120216644
1989 Beach Blvd,Pacifica,CA,94044,37.634148,-122.493989,3,1580,1688888,0.3311862166653662
1635 12th Ave,San Francisco,CA,94122,37.757602,-122.469412,2,975,998888,0.7555368943116906
9244 Coral Rd,Oakland,CA,94603,37.735816,-122.193135,3,1129,499000,0.791950586526057
531 Kirkham St,San Francisco,CA,94122,37.760033,-122.466741,3,1100,899000,0.8242656581653997
1250 Jones St UNIT 1102,San Francisco,CA,94109,37.793071,-122.414049,1,1115,1850000,0.6812509304202002
600 El Camino Real # 215,Belmont,CA,94002,37.523432,-122.280098,1,769,888000,0.2536936788020728
2112 Hyde St APT 2,San Francisco,CA,94109,37.800449,-122.419072,1,888,1225000,0.7410025546710138
2112 Hyde St APT 1,San Francisco,CA,94109,37.800449,-122.419072,2,888,1250000,0.8540931014270757
6106 Admiralty Ln,Foster City,CA,94404,37.561436,-122.267212,1,748,615000,0.9287127566070291
62 Waterline Pl,Richmond,CA,94801,37.90902,-122.374659,2,2630,1544246,0.9337035463934593
76 Waterline Pl,Richmond,CA,94801,37.90902,-122.374659,2,2630,1479580,0.9571916833536007
6 Sunset Ln,Richmond,CA,94801,37.909034,-122.374003,2,2625,1397227,0.9592214741780848
19 Waterline Pl,Richmond,CA,94801,37.90902,-122.374659,2,2391,945360,0.968509099155642
1207 51st Ave,Oakland,CA,94601,37.767501,-122.209905,2,1053,475000,0.9712914482922883
"58C Plan, 181 Fremont",San Francisco,CA,94105,37.789808,-122.395356,2,1605,3715000,0.23358131743466357
101 Lombard St APT 28,San Francisco,CA,94111,37.803468,-122.404078,1,864,964000,0.3281036205377242
976 & 978 Hillside Blvd,Daly City,CA,94014,37.690574,-122.461519,0,2718,1098000,0.4849239540236159
21 14th Ave # 23,San Mateo,CA,94402,37.55535,-122.316279,4,2771,1850000,0.39229940018095705
16072 Via Walter,San Lorenzo,CA,94580,37.670425,-122.147087,4,1841,745000,0.7823031156432934
"51 Innes Ct. #204 Plan, The San Francisco Shipyard   Monarch",San Francisco,CA,94124,37.7271,-122.368,2,1190,899000,0.8251857427544428
7107 Snake Rd,Oakland,CA,94611,37.837651,-122.20128,4,2254,799000,0.9090776701125887
1 La Vuelta,Orinda,CA,94563,37.894934,-122.182749,4,2829,2150000,0.9544265326726755
2101 Shoreline Dr APT 253,Alameda,CA,94501,37.757091,-122.255388,2,1090,650000,0.9756535832840082
2101 41st Ave,Oakland,CA,94601,37.778682,-122.211324,0,1469,589000,0.8030764504423252
390 Pacific Ave,Pacifica,CA,94044,37.631738,-122.486108,3,1100,889000,0.9806411078141468
2401 Read Ave,Belmont,CA,94002,37.51753,-122.298591,3,2000,1398000,0.9807464082180983
"10 Innes Ct #202 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,2,939,785000,0.9873041676420555
3760 Sundale Rd,Lafayette,CA,94549,37.886736,-122.134892,4,2375,1480000,0.7137193939741759
600 El Camino Real # 202,Belmont,CA,94002,37.5244,-122.28082,1,940,998000,0.3264306175584167
640 Larchmont Dr,Daly City,CA,94015,37.688651,-122.483284,3,990,899000,0.9737161702958343
466 Vallejo St,San Francisco,CA,94133,37.799368,-122.40522,4,2766,4100000,0.6314851382012063
600 El Camino Real # 211,Belmont,CA,94002,37.523432,-122.280098,2,1354,1270000,0.2536936788020728
219 23 Clayton St,San Francisco,CA,94117,37.773158,-122.449567,6,5115,2299500,0.7241298135878704
1769 Pleasant Valley Ave,Oakland,CA,94611,37.828619,-122.245772,4,2118,1195000,0.9919916778956146
414 Webster St,San Francisco,CA,94117,37.774604,-122.429048,2,1450,1495000,0.823018796971186
567 Oakland Ave APT 313,Oakland,CA,94611,37.820536,-122.251891,1,705,459000,0.9060288179069382
88 Townsend St APT 206,San Francisco,CA,94107,37.781167,-122.390696,1,644,849000,0.3848406133080935
1 Una Ct,Mill Valley,CA,94941,37.901299,-122.542522,3,1785,1670500,0.8118699148333594
